Date,accumulated_deaths,tests,accumulated_cases
2020-05-23,1905,2716,0
2020-05-24,1906,3427,0
2020-05-25,1913,1682,0
2020-05-26,1915,2969,0
2020-05-27,1917,5556,0
2020-05-28,1919,0,0
2020-05-29,1919,10026,0
2020-05-30,1919,4020,0
2020-05-31,1920,2974,0
2020-06-01,1920,1524,0
2020-06-02,1920,1578,0
2020-06-03,1921,3278,0
2020-06-04,1921,5379,0
2020-06-05,1921,5745,0
2020-06-06,1921,4785,0
2020-06-07,1921,3488,0
2020-06-08,1923,1686,0
2020-06-09,1934,3819,0
2020-06-10,1936,6485,0
2020-06-11,1937,6170,0
2020-06-12,1938,5989,0
2020-06-13,1938,6128,0
2020-06-14,1938,5188,0
2020-06-15,1939,2195,0
2020-06-16,1954,4594,0
2020-06-17,1956,9502,0
2020-06-18,1956,10724,0
2020-06-19,1956,7895,0
2020-06-20,1956,8528,0
2020-06-21,1956,5365,0
2020-06-22,1956,1864,0
2020-06-23,1956,5525,0
2020-06-24,1958,8784,0
2020-06-25,1958,10581,0
2020-06-26,1962,10687,0
2020-06-27,1962,10138,0
2020-06-28,1962,7594,0
2020-06-29,1962,3685,0
2020-06-30,1963,0,0
2020-07-01,1965,16634,0
2020-07-02,1965,0,0
2020-07-03,1965,0,0
2020-07-04,1965,0,0
2020-07-05,1965,0,0
2020-07-06,1965,0,0
2020-07-07,1966,0,0
2020-07-08,1966,0,0
2020-07-09,1966,0,0
2020-07-10,1966,87256,0
2020-07-11,1968,0,0
2020-07-12,1968,13389,0
2020-07-13,1968,0,0
2020-07-14,1968,6828,0
2020-07-15,1968,9625,0
2020-07-16,1969,8044,0
2020-07-17,1969,7117,0
2020-07-18,1969,6629,0
2020-07-19,1969,4690,0
2020-07-20,1971,1486,0
2020-07-21,1972,4543,0
2020-07-22,1972,0,0
2020-07-23,1975,0,0
2020-07-24,1977,20498,0
2020-07-25,1977,5503,0
2020-07-26,1977,4093,0
2020-07-27,1978,1965,0
2020-07-28,1978,4728,0
2020-07-29,1979,8009,0
2020-07-30,1980,7155,0
2020-07-31,1981,6939,0
2020-08-01,1981,6208,0
2020-08-02,1981,3809,0
2020-08-03,1981,1983,0
2020-08-04,1981,4306,0
2020-08-05,1984,0,0
2020-08-06,1985,14733,0
2020-08-07,1986,6394,0
2020-08-08,1986,6566,0
2020-08-09,1986,4685,0
2020-08-10,1987,2100,0
2020-08-11,1990,4816,0
2020-08-12,1991,7560,0
2020-08-13,1991,6670,0
2020-08-14,1991,7331,0
2020-08-15,1991,7179,0
2020-08-16,1991,0,0
2020-08-17,1991,8407,0
2020-08-18,1992,5817,0
2020-08-19,1996,10785,0
2020-08-20,1998,9209,0
2020-08-21,2000,10206,0
2020-08-22,2000,9927,0
2020-08-23,2001,7032,0
2020-08-24,2001,4350,0
2020-08-25,2002,6641,0
2020-08-26,2003,14456,0
2020-08-27,2003,12668,0
2020-08-28,2004,0,0
2020-08-29,2005,25321,0
2020-08-30,2005,10064,0
2020-08-31,2006,4738,0
2020-09-01,2011,7517,0
2020-09-02,2011,16538,0
2020-09-03,2013,14911,0
2020-09-04,2013,16258,0
2020-09-05,2013,0,0
2020-09-06,2013,27630,0
2020-09-07,2014,4609,0
2020-09-08,2018,8835,0
2020-09-09,2019,17565,0
2020-09-10,2020,16400,0
2020-09-11,2020,16287,0
2020-09-12,2020,11562,0
2020-09-13,2021,13026,0
2020-09-14,2025,6356,0
2020-09-15,2028,10817,0
2020-09-16,2039,17861,0
2020-09-17,2042,15763,0
2020-09-18,2045,13993,0
2020-09-19,2045,0,0
2020-09-20,2045,0,0
2020-09-21,2050,27633,0
2020-09-22,2054,7949,0
2020-09-23,2060,12896,0
2020-09-24,2061,13852,0
2020-09-25,2064,12346,0
2020-09-26,2064,0,0
2020-09-27,2064,0,0
2020-09-28,2065,22869,0
2020-09-29,2069,5959,0
2020-09-30,2074,12577,0
2020-10-01,2074,12388,0
2020-10-02,2075,11415,0
2020-10-03,2076,0,0
2020-10-04,2077,0,0
2020-10-05,2078,25762,0
2020-10-06,2081,7217,0
2020-10-07,2082,15122,0
2020-10-08,2087,16066,0
2020-10-09,2088,15229,0
2020-10-10,2088,0,0
2020-10-11,2088,0,0
2020-10-12,2096,35556,0
2020-10-13,2103,9571,0
2020-10-14,2109,20704,0
2020-10-15,2115,0,0
